日期	最新股价	开盘	高	低	交易量	百分比变化
2014年10月29日	107.34	106.65	107.37	106.36	52.69M	0.56%
2014年10月28日	106.74	105.40	106.74	105.35	48.06M	1.55%
2014年10月27日	105.11	104.85	105.48	104.70	34.19M	-0.10%
2014年10月24日	105.22	105.18	105.49	104.53	47.05M	0.37%
2014年10月23日	104.83	104.08	105.05	103.63	71.07M	1.79%
2014年10月22日	102.99	102.84	104.11	102.60	68.26M	0.51%
2014年10月21日	102.47	103.02	103.02	101.27	94.62M	2.72%
2014年10月20日	99.76	98.31	99.96	98.22	77.52M	2.14%
2014年10月17日	97.67	97.50	99.00	96.81	68.18M	1.46%
2014年10月16日	96.26	95.55	97.72	95.41	72.15M	-1.31%
2014年10月15日	97.54	97.97	99.15	95.18	100.93M	-1.23%
2014年10月14日	98.75	100.39	100.52	98.57	63.69M	-1.06%
2014年10月13日	99.81	101.33	101.78	99.81	53.58M	-0.91%
2014年10月10日	100.73	100.69	102.03	100.30	66.33M	-0.29%
2014年10月9日	101.02	101.54	102.38	100.61	77.38M	0.22%
2014年10月8日	100.80	98.76	101.11	98.31	57.40M	2.08%
2014年10月7日	98.75	99.43	100.12	98.73	42.09M	-0.87%
2014年10月6日	99.62	99.95	100.65	99.42	37.05M	0.00%
2014年10月3日	99.62	99.44	100.21	99.04	43.47M	-0.28%
2014年10月2日	99.90	99.27	100.22	98.04	47.76M	0.73%
2014年10月1日	99.18	100.59	100.69	98.70	51.49M	-1.56%
2014年9月30日	100.75	100.81	101.54	100.53	55.26M	0.64%
2014年9月29日	100.11	98.65	100.44	98.63	49.77M	-0.64%
2014年9月26日	100.75	98.53	100.75	98.40	62.37M	2.94%
2014年9月25日	97.87	100.51	100.71	97.72	100.09M	-3.81%
2014年9月24日	101.75	102.16	102.85	101.20	60.17M	-0.87%
2014年9月23日	102.64	100.60	102.94	100.54	63.40M	1.56%
2014年9月22日	101.06	101.80	102.14	100.58	52.79M	0.10%
2014年9月19日	100.96	102.29	102.35	100.50	70.90M	-0.82%
2014年9月18日	101.79	101.93	102.35	101.56	37.30M	0.21%
2014年9月17日	101.58	101.27	101.80	100.59	60.93M	0.71%
